seed,testR2,testR2Real,testR2RealNoOutiler,mseRotTrans,mseAxLength,mseMElong,maeRotTrans,maeAxLength,maeMElong,mseMElongNoOutiler,maeMElongNoOutiler
6007,0.8775866388700475,-691.4550817242233,0.7486809663912802,0.06069460832404815,0.0002284551247857105,5920.927768190219,0.12838123291577852,0.012242140605427915,10.350077462065249,1.81163511296342,0.86252991086921
4420,0.8692123280162996,-767.4727093308057,0.7245628030338703,0.06962778828428835,0.00022905625767971055,6763.749003913578,0.13119155506855357,0.012245953775184159,11.872505455121686,2.099105678812264,0.9183212310510546
3607,0.8720265799540982,-880.6986640048594,0.7490157693717392,0.06601656108708588,0.00022111986667205984,7600.537051239277,0.12959725369528816,0.011976179862733147,12.300879531524075,1.8121714405362606,0.8806193050836678
5284,0.8750751770718123,-757.8794363153801,0.747791281442861,0.059812638921233785,0.0002274365326916399,6792.257774670357,0.1251406648712202,0.012255755279225925,10.037068722671616,1.9137373804498026,0.9073738677795008
557,0.8709662432777777,-675.9726165414027,0.7329628227375423,0.06411669223460563,0.00023135890033250658,5930.08849651606,0.1258386053954134,0.012278690363374568,10.329024036313333,2.0030260598260012,0.9141920864478857
3712,0.8667170274999804,-720.375139383074,0.72035201549134,0.056583659458674405,0.0002285098030254412,6370.497709847945,0.12484788562090236,0.012287207644104941,10.104167373852661,2.1167606714403706,0.9263169224167417
6098,0.8711978000566548,-538.8683959677611,0.7454006715664317,0.059482944124467405,0.0002286990517428672,4854.526308526204,0.1262874465025785,0.012276343752612022,8.686106400050077,1.9446529740332825,0.9087166135976892
1383,0.8709670512502546,-731.0167691029214,0.7437331058948699,0.0660080593979728,0.0002239562392501352,6483.628746693733,0.13023260268649808,0.0120266672797288,11.059691244845883,1.933996016478465,0.9218435672547255
9792,0.8734560900383025,-704.0137190169761,0.7479016161704694,0.06155044127231934,0.00023479403466916904,6192.61675420725,0.12592376175405848,0.012277060518512644,9.979601431526811,1.8845437511571033,0.8751393559024467
5419,0.8749535372657603,-840.2871183377741,0.74087304015175,0.06223105026778846,0.00023345533759056892,7511.9934969236365,0.12914083861751846,0.01241901475274675,11.824811094875825,1.953209127682517,0.910425632461296
7474,0.87268223840478,-672.4387097817386,0.7277175854607364,0.06391230976357198,0.00022473050688602631,6074.443317810973,0.12915380064555956,0.012110442118428159,10.276573720183091,2.118632687435618,0.9234879088439131
325,0.8666939511980871,-690.538470454726,0.7176130410294363,0.06156961703073866,0.000247388911381183,6113.810412505063,0.12896488179830945,0.012607450059565465,11.252637114658226,2.1588731467444857,0.9194560244052157
5279,0.8773085166141481,-522.3098382752991,0.7372951090710762,0.060638718835888186,0.00022452812382096307,4596.894240136842,0.12581143733757147,0.01209160098752477,8.620793521498797,1.9647281304290096,0.9074971712286316
8842,0.8677733674969487,-960.0664767336774,0.7338546855057168,0.06859729406177068,0.00023611003574451842,8432.012773782651,0.13118733069862434,0.012372533432415811,12.533195700631277,1.9926397875511148,0.909236093517708
5596,0.8639458869723956,-652.2010307842937,0.7596568109870443,0.06467977409371191,0.00022577408334063998,5713.337150349384,0.13197042066295964,0.012043845850000179,9.980086864174538,1.7899207409559006,0.8836530284265399
9726,0.8656649803828667,-559.9011145800939,0.7517483063315296,0.059797775635615835,0.00022816902462664417,4952.461576273079,0.12669508463172277,0.012122431525581736,9.766843843091683,1.8368377793756654,0.8746194947438285
5683,0.8701544785920067,-470.2798492843915,0.7498548485867684,0.0590116263035468,0.00022675022880359771,4112.392474790514,0.12615464178760546,0.012127400329292779,8.862742275064802,1.8714190167032096,0.8895744323334107
2641,0.8646877578034665,-531.6410819438196,0.7382230639596393,0.06141745516145768,0.00022978198509849106,4661.127372851372,0.12686188483956082,0.012203393847326122,8.939829441065848,1.9485392757768654,0.8977545794923903
3756,0.8746291738482345,-523.4562634687329,0.732508662204293,0.05897033956210175,0.0002311713121840684,4796.550410612424,0.12578406945992854,0.012237166563288696,9.134854973256413,2.0897570821119085,0.9242658963407754
274,0.8751309936591856,-645.4916408152145,0.7401404634615133,0.06152801426858799,0.0002233704482934894,5693.909198649896,0.1262811726042972,0.012105535136178926,10.477438499056856,1.9606656603894377,0.9165449590651501
8810,0.8707581828296328,-667.340784617517,0.744751050675526,0.05893632616086586,0.00022740933309666112,5980.6673598544985,0.12497572905870877,0.012157137726892071,10.379346974732604,1.9344762703648377,0.9036054650934077
