seed,testR2
3659,0.9744597415630394
1827,0.9747068519157028
6063,0.9765506165377492
8525,0.9745746466134193
158,0.974646550952435
9248,0.9727299768750965
2214,0.9763530953805722
8388,0.9758258520165995
7956,0.9738726586455589
5302,0.9745244785109591
7762,0.9752054183473934
4252,0.972760853777291
8309,0.9740795734949157
4855,0.9756524322526726
2197,0.9725846799358108
8540,0.9709063737192135
4903,0.9757145309538772
5486,0.973530220888502
3310,0.9749200645937285
3716,0.9757792951848998
4277,0.9745417216786979
599,0.9750354111956083
2350,0.9743208317814966
3504,0.97549151740834
1180,0.9751640299133469
7692,0.9737492766878159
959,0.9736988074873137
7786,0.9768016647876779
7455,0.9753177307640053
7060,0.9743695039523838
2801,0.9768619598530969
9109,0.9765855382306202
4371,0.9743302515454587
9556,0.9758399214352288
1888,0.9743941557372514
5561,0.9756734148168236
9648,0.9734133410618725
2510,0.9750310451404768
4496,0.9726730240160087
8497,0.9756274027720285
5072,0.9753614773759093
5412,0.973693811932906
5183,0.9755236192546214
2219,0.9767276600158866
1685,0.9735121345182943
2565,0.975437125420445
5329,0.9730125410257046
8029,0.9755433183915038
9607,0.9737145022752086
5450,0.9723401525465537
9224,0.9748759338982369
5645,0.9737513964726393
9271,0.972844624601784
6690,0.9746880387094577
6052,0.9754708433983433
3538,0.9762480195088327
3713,0.9757002543834808
7008,0.9747134718681659
5406,0.9744759787770708
3243,0.9767359424062546
5391,0.9771279310476491
2213,0.9735916560762646
1703,0.9756013919836236
2774,0.9739519914353867
8590,0.9765727588438161
4448,0.9759613245220073
7372,0.9744786035313012
9861,0.9736216038813096
7843,0.9745911327168182
631,0.97379640367431
1635,0.9749985209919556
8521,0.9758560609427066
5394,0.9729463236567014
6203,0.9738917293748806
6565,0.971954669452475
3961,0.9764441306639887
6985,0.9746972457257094
9732,0.9726493500211907
2102,0.972978251016805
7717,0.9716588981745319
6064,0.9730926859901698
7839,0.9748312513162829
6587,0.9750299031203161
4372,0.9760658214370167
8402,0.9761673066779514
1755,0.9741522957890073
8060,0.9755704936996631
6195,0.9769915967612187
5341,0.97674339230596
6374,0.9752181110715111
8064,0.9746240929227387
5538,0.9741837046477002
3407,0.9758632259650506
1313,0.9773758667788539
8817,0.9742965530146698
2212,0.9734107286920445
7370,0.972017740386726
3347,0.9755107373671971
657,0.9738673389100475
6517,0.9746560486262754
4163,0.9741618448222854
9871,0.9741275403861827
8205,0.9765393042334689
