seed,testR2,testR2Real,testR2RealNoOutiler,mseRotTrans,mseAxLength,mseMElong,maeRotTrans,maeAxLength,maeMElong,mseMElongNoOutiler,maeMElongNoOutiler
8985,0.9765193349633616,0.9564686431912964,0.9564686431912964,0.001848562510795332,8.562057626888003e-08,0.3633315604358311,0.0249001735970419,0.0001907566903638512,0.27911795097236425,0.3633315604358311,0.27911795097236425
4537,0.9731924822075678,0.8860991609418681,0.9556229523680555,0.0023598403964098596,1.170553216044693e-07,0.9976552125873178,0.025669712013179316,0.00019158663450322537,0.30378146959198754,0.37319032079793657,0.27690118217782755
3579,0.9739660265048204,0.9001703485223697,0.9583746998338009,0.0021519750549332064,8.704984535938438e-08,0.8523110110677375,0.025391076698279915,0.0001883151499052722,0.28316069735370125,0.3413354476046663,0.25964676830057987
2011,0.9772872646645014,0.9297078405848517,0.9542488313362573,0.002342355152547767,7.39285852039762e-08,0.5974256021282062,0.025803931784238978,0.0001866997005453346,0.2938018768155512,0.38138061781995064,0.28183881966508484
6296,0.9730814441128377,0.95639570008521,0.9563957000852102,0.0021184457030910555,7.976337653171258e-08,0.34785488776344126,0.025996805901970604,0.00018335980967302556,0.26244154194814306,0.34785488776344126,0.26244154194814306
6819,0.9742255262798013,0.9235093704772684,0.9571460091632753,0.0019310441053333122,8.960430930901722e-08,0.6466151769172903,0.02504771771280774,0.00018993745330236845,0.2794782977305912,0.35295904932840255,0.2702867323086764
9592,0.9754951166359168,-114.14379095740395,0.9544126713099249,0.002489519544612448,9.699918020139917e-08,1036.678247565134,0.025686563442299498,0.00019212911996040473,0.872266998017346,0.3823466049890718,0.27378792824372405
6698,0.9735259544698595,0.9043784578164383,0.9514226621153646,0.002395304958334758,8.832880101574031e-08,0.8073797520380325,0.026268637451636965,0.00019148407305836357,0.30305034082303567,0.3982194948099888,0.2855187602733504
406,0.9722669247705115,0.9291243843266977,0.9553906857193608,0.00221969589873848,8.418909137882115e-08,0.5881469870188359,0.025640590021044303,0.00019068198115356562,0.2842298936540308,0.3607476937398559,0.27152873351276546
8729,0.9752910486895384,0.9166171752958848,0.9525387813104937,0.0021933316844497553,8.785151445342285e-08,0.7193473535304942,0.02556810380480053,0.00019162417992692066,0.29402496233336756,0.39896341546513375,0.28230571127776066
2811,0.9701882342562754,-2587.833829288986,0.9565284985589164,0.0021640353954624383,8.767338982094006e-08,22601.39338552306,0.02561008028326081,0.00019050744137645185,2.8476371948647254,0.3517776096777079,0.2713707914618149
7901,0.9724171140780005,0.9524277600467732,0.9524277600467732,0.002114144893278186,8.901262151589199e-08,0.40352386797440853,0.02664681864197727,0.00019255409612690258,0.2931595558635814,0.40352386797440853,0.2931595558635814
4881,0.9732101115680001,0.9312063102070235,0.9556974184427144,0.00209617241115899,7.327364061954509e-08,0.5695947772076517,0.025876896241447928,0.0001823651609803662,0.28672092869240107,0.35847818880572996,0.2743241315686943
5980,0.97597130792215,-32.52929266454872,0.9512233789964387,0.002095603914792412,8.479835573432126e-08,296.52927344893294,0.025568954020352083,0.00019095928395192682,0.5868823422167208,0.407436724575148,0.2856425124818363
2044,0.9750773569248633,0.7398647966552675,0.9582505245757996,0.0023436044421265728,4.2556827635877866e-07,2.2708514418409163,0.02591769624262367,0.00020374313883596347,0.3022655634641922,0.3403742787675184,0.2663884702982297
9265,0.9771755763823687,0.9465428471528282,0.9514781833758681,0.002066024320654522,6.764502944566515e-08,0.431599744979878,0.025150428691727074,0.00017404116343299822,0.28097420616586055,0.39038443571560766,0.2764231738305129
7557,0.9757228222153421,0.8637843130292616,0.9543645093215664,0.0020574901473772154,7.440584334656132e-08,1.1770529128459182,0.025266799362635598,0.00018338039752442448,0.29898995095040565,0.379074252312639,0.2771226198969991
946,0.9747881244866629,0.9560944070031697,0.9560944070031697,0.0020054511636561105,8.568076385095685e-08,0.3532522765509507,0.025093896631219505,0.00018735842258345826,0.27380704589366006,0.3532522765509507,0.27380704589366006
5320,0.9746531150633576,0.9331358562541091,0.9528669178508213,0.001983102812897147,7.552932402096678e-08,0.5417823349596702,0.025540985847228394,0.00018455002365180769,0.2799535246769092,0.3745651754676986,0.271349554528423
7634,0.9741858833162135,0.9569287082901167,0.9569287082901164,0.002198964892537405,8.470965784878618e-08,0.3630053966327265,0.025620048098618824,0.00018719665178257652,0.27522673390170643,0.3630053966327265,0.27522673390170643
