seed,testR2,testR2Real,testR2RealNoOutiler
5173,0.9755716803667882,0.9372126644215482,0.9502052493945418
8519,0.9760437605194658,0.9524983579977618,0.9524983579977618
8184,0.9721898423999997,0.9514082169650967,0.9514082169650968
3903,0.9709214193692842,0.9315115408095073,0.9521042398201827
3420,0.9744344198787553,0.9531389072225975,0.9580405497923775
4427,0.9748528084483397,0.9545247596187342,0.9545247596187343
4561,0.9737789892536425,-2044.3562917863628,0.9513408831135255
6265,0.9749441070236488,0.9252821595987504,0.9512117458362263
4574,0.9719025872812693,-0.555198287863495,0.9512143302936588
179,0.974856889404275,0.9600718534851872,0.9600718534851871
6597,0.9760766879573328,-9.051375391056103,0.9569867034734418
3701,0.9778711703861419,0.9488880049197426,0.9518990328123408
6146,0.974878633998607,-259.7002573894656,0.9557035852565757
3172,0.9744152466538779,0.9564568291655648,0.9588648390060565
7331,0.9745500457853861,0.9509281594382074,0.9540698443557815
3306,0.9749632958825968,0.9416534255764306,0.9472571644912682
3852,0.9725167309758657,0.9299216247747246,0.9568430721618011
9100,0.9748022047089243,-0.06010141100020213,0.9533972099880899
8070,0.9747340232293645,0.9564132909233467,0.9607774880241794
5113,0.9764516672787688,0.9516243183127155,0.9516243183127155
398,0.9753133706821348,0.9441791221488333,0.9477401319511349
1311,0.975102967060482,0.9396530334222839,0.9558641496454902
522,0.9724819437971387,0.6163398277815658,0.9547839648727495
2750,0.9747311027897134,-27.052694829735504,0.9457477204327077
3421,0.9756271600958349,0.9329538288098913,0.9582092318051189
7149,0.9723557445542036,0.9009466749902236,0.954049914859708
8925,0.9696469991451474,-2.5729926703702852,0.9541418438655609
7607,0.9746435615715686,0.8775651005744335,0.953393389283756
6957,0.9763133371354278,0.2153487831458575,0.955588243861845
5487,0.9710145334078112,-698.8321861211249,0.9523413882871258
5196,0.97500973000653,0.9362854233111116,0.9556105035097482
4011,0.9742182566708845,0.8065703224780476,0.9569677324003371
1173,0.9752162363131566,0.9602863647031711,0.9612007210189262
9323,0.9745356982485992,0.23482270790133616,0.954382005268715
7502,0.9751631941259902,-15.490919619187283,0.9582374979331078
5233,0.9738668912400543,0.9562579849129835,0.9562579849129835
435,0.9742156271722237,0.948508450632501,0.9553359802706781
6798,0.9756812390789928,0.3446145509637198,0.954583327822868
8153,0.9762760936739129,-0.1462713490556249,0.9545370857804963
1169,0.9754153630687826,-1264.5428524897272,0.9550030322391914
818,0.9743882509364399,0.9503341270140417,0.9594820061807647
6094,0.9763434058240623,0.953272353805526,0.953272353805526
9970,0.9745442930892846,0.9537942185696503,0.9537942185696505
4559,0.973711880855273,-0.16684475861923312,0.9486466027348596
541,0.973707824348551,0.916982367474116,0.956609300624136
6542,0.9748916926868819,0.9544199960325263,0.9544199960325264
5597,0.9735174703081638,0.9500917418296995,0.9500917418296995
5179,0.9760174137092449,0.9528830623100238,0.9528830623100238
1645,0.976255433309261,-84.10084126252626,0.953408556178104
6069,0.9777851705507432,-5.783308735676074,0.9556489810752343
6147,0.9740871786517316,0.9510814162324532,0.9548526541690049
9760,0.9733395393199947,0.8781562957907932,0.9523566349050759
8659,0.9744415364708914,0.9523476017485816,0.9543128038765837
8594,0.9745822376239727,0.9184508975185167,0.9573583760087613
3483,0.9751835389192811,0.9474400268348565,0.9520183846648553
5973,0.9749292111525788,0.9288023182372579,0.9531179156718331
8958,0.9751778728930668,0.24014632984181494,0.9506059047067987
8301,0.973317083716852,0.9540163605446864,0.9540163605446864
6597,0.9760766879573328,-9.051375391056103,0.9569867034734418
3984,0.9761283963169025,0.7444597350895457,0.9557206231473808
9321,0.973711227773844,0.9484815006682575,0.9519948958851027
546,0.9751354994235051,0.9354734623199045,0.9491688417498856
8759,0.9752005341529713,-2242.380937435746,0.9571815877671743
5676,0.9753352629004034,0.9501139020968584,0.9574158746942621
592,0.9773943418460639,0.9488000294581543,0.952942170693272
1101,0.9754260750788686,0.9589260334604927,0.9608969113723669
