seed,loss,bestValidationScore,testR2
5788,0.0054296057018682386,0.9422527103317005,-0.7621095131494681
3346,0.005285452967138994,0.9380629996409299,-0.38372806374308216
3621,0.004747606888529159,0.9571333190441496,-0.4120560632984316
2607,0.004466803380481555,0.9604530582812517,-0.13618374712153913
9144,0.004605660555805733,0.9599686637088017,-0.5370571359130099
1610,0.004337307271566033,0.9587919772627647,0.1270505759315542
6864,0.005165619097070489,0.9423510301401627,-0.47992415262749905
6503,0.00513243340924715,0.9503350066393909,-0.9953380637839814
6029,0.004924270470358839,0.947215593491551,-0.7750619973225028
6231,0.005461320627410659,0.9434330494376031,-0.6955350707296984
2610,0.005303537056972884,0.9436136695167138,-0.9350951749547005
887,0.004681948206357889,0.9496616570810019,-0.3479526440998722
9956,0.005382774561253527,0.9418650066062048,-0.7088711308563398
1537,0.004904600559149084,0.9503527348104887,-0.15919945253691212
3821,0.004647898610370616,0.9539139769337894,-0.35360118460257284
7050,0.004876829526358467,0.9508928522943392,-0.586868484447136
1096,0.005212442391035607,0.9443916677878651,-1.0040535764574796
5254,0.0045889303497815654,0.955777539140288,-0.2120852737916594
4181,0.005265686921739164,0.9462589536288167,-0.32134684559040877
4414,0.004703038489922637,0.954680144790799,-0.597725645476351
1412,0.0052545080456243365,0.9396891487326933,-0.4738759545771009
1952,0.004557111110087488,0.9550948892131098,-0.21883010422619223
3357,0.004859124317611245,0.9458122955121689,-0.09137402982233038
7720,0.0051575425254404735,0.9367226141570216,-0.6667448038807521
8742,0.005188054617400307,0.9521674200273944,-0.2741879102494468
6930,0.005613161586801213,0.9441466712759753,-1.572403999881953
1486,0.004518255941515738,0.9585184575550292,-0.37259844555828897
8746,0.004935234988750914,0.9497906297808029,-0.5204459863949422
1235,0.004796981681290857,0.9524470201018683,-0.692471805565714
6222,0.005800788366423974,0.9365222164877721,-1.086401086397629
5800,0.005085704265341916,0.9469791717600878,-1.1554004010357264
4767,0.005024030949453236,0.9520564367641082,-0.6610173954614291
2450,0.005065337868917824,0.949826748333956,-0.8424020263239993
3834,0.005306301285970992,0.9411791297487384,-0.7588110807460877
4616,0.0045744734724902794,0.9520365071394594,-0.29838548326190745
2570,0.00447370066853287,0.9590552278931338,0.1080405983319452
8328,0.005237298664551996,0.9479853289092732,-0.8955904946116905
4888,0.005787179170721777,0.9350390771588297,-1.027641888077239
8453,0.00433398628465102,0.9579161996598621,0.32899746947981734
9333,0.005064035400604606,0.9491822643198436,-0.6706112780604462
7954,0.0049056436672446375,0.9508161539448267,-0.6715796287606207
5847,0.005413243756947927,0.9411175209431358,-0.2991699163286487
3086,0.004538505847016007,0.9488653678555864,-0.5495464388682684
1981,0.005221554575524815,0.9464701935856619,-0.8987275413561733
2132,0.005469984688238309,0.9399169711731264,-0.6650344034148717
2448,0.005273617334311807,0.9463441951908212,-0.4546045219037511
3849,0.005175514584557983,0.9443884933127701,-1.2060587663140854
7371,0.004767880049169561,0.954615700634541,-0.836287220488391
3647,0.004612337332194505,0.9555923433572194,-0.3510530265860514
9919,0.0053922048663108966,0.9426034741734367,-0.35781525933546615
6383,0.004821749610632731,0.9501985283332505,-0.2993885041997935
1978,0.005471388099655624,0.9393339222914898,-0.7080642802287355
4171,0.005116846757133407,0.9501742234318628,-0.605436099357889
5617,0.004937590885142241,0.9430877945444832,-0.6122689030878951
1872,0.004639832474195793,0.9538664447374496,-0.3450664171938944
