hiddenLayerSize,trainTime,loss,bestValidationScore
"[15, 15]",0:00:11,0.005514849607118744,0.9423510528279553
"[15, 15, 15]",0:00:15,0.0048857683630638485,0.9527806402732902
"[15, 15, 15, 15]",0:00:15,0.00490488200831312,0.9511696974400827
"[15, 15, 15, 15, 15]",0:00:13,0.004433096160263639,0.9585226081878653
"[20, 20]",0:00:07,0.005721848179711333,0.9464090675155982
"[20, 20, 20]",0:00:10,0.00516696192612609,0.9453467368486983
"[20, 20, 20, 20]",0:00:17,0.004380112941812992,0.9593452262193907
"[20, 20, 20, 20, 20]",0:00:15,0.004412378537027011,0.9560607247811118
"[25, 25]",0:00:04,0.0062850172131121585,0.9395615636300872
"[25, 25, 25]",0:00:11,0.004898112842468593,0.9509339415252475
"[25, 25, 25, 25]",0:00:19,0.004425386573097603,0.9596969411034794
"[25, 25, 25, 25, 25]",0:00:20,0.004399102762889155,0.9586318649954261
"[30, 30]",0:00:08,0.005337956078909164,0.9514057114120655
"[30, 30, 30]",0:00:10,0.004992555820665081,0.9515121530814955
"[30, 30, 30, 30]",0:00:16,0.00443735961115398,0.9592881465052944
"[30, 30, 30, 30, 30]",0:00:20,0.00436068840629304,0.9601393678727916
"[35, 35]",0:00:08,0.005218661805954448,0.9459191073509956
"[35, 35, 35]",0:00:09,0.005210678798985062,0.945506425475155
"[35, 35, 35, 35]",0:00:12,0.004618308409298054,0.9521215591537132
"[35, 35, 35, 35, 35]",0:00:10,0.004762548348586211,0.9523544030267095
"[40, 40]",0:00:10,0.005227242718475014,0.9524925149430605
"[40, 40, 40]",0:00:06,0.005656884581962539,0.9390808352743791
"[40, 40, 40, 40]",0:00:13,0.004814603676409344,0.94941802598193
"[40, 40, 40, 40, 40]",0:00:11,0.004797845629513921,0.9454301136857913
"[45, 45]",0:00:11,0.005328959081746755,0.951153887122495
"[45, 45, 45]",0:00:17,0.004727549054973276,0.9508096467850086
"[45, 45, 45, 45]",0:00:24,0.004456752002756158,0.9607520017320971
"[45, 45, 45, 45, 45]",0:00:15,0.0048355368614068145,0.9542653079292439
"[50, 50]",0:00:14,0.005278363602094595,0.9461091070293496
"[50, 50, 50]",0:00:10,0.004942555223653595,0.9501205654783295
"[50, 50, 50, 50]",0:00:16,0.004590860051048016,0.9590793348777479
"[50, 50, 50, 50, 50]",0:00:14,0.004720498263478034,0.9540255479277336
"[15, 15]",0:00:07,0.00618147411054341,0.91860776723927
"[15, 15, 15]",0:00:17,0.005311073215391507,0.9447683032652529
"[15, 15, 15, 15]",0:00:17,0.00474250068710445,0.9533581819196191
"[15, 15, 15, 15, 15]",0:00:21,0.0043207614183399514,0.9628698195696027
"[20, 20]",0:00:05,0.006550187548463696,0.9301718306587298
"[20, 20, 20]",0:00:12,0.004883529450842996,0.9489480704484864
"[20, 20, 20, 20]",0:00:14,0.0045029023104969776,0.9549079210264294
"[20, 20, 20, 20, 20]",0:00:15,0.004331854133623044,0.954079740089151
"[25, 25]",0:00:09,0.005275716826495974,0.9497883781568754
"[25, 25, 25]",0:00:12,0.004970559046407643,0.9491669112691087
"[25, 25, 25, 25]",0:00:12,0.004409177415757793,0.9528411663112971
"[25, 25, 25, 25, 25]",0:00:08,0.00497320518719997,0.9355837014792246
"[30, 30]",0:00:15,0.005031456162077566,0.9525717881687771
"[30, 30, 30]",0:00:13,0.00482132918136389,0.9565770734849789
"[30, 30, 30, 30]",0:00:04,0.005930665092788047,0.9163606339618416
"[30, 30, 30, 30, 30]",0:00:17,0.004466261639380768,0.9569776567568288
"[35, 35]",0:00:15,0.004872345136661487,0.9526403775464831
"[35, 35, 35]",0:00:15,0.004767335388903701,0.9552169003626343
"[35, 35, 35, 35]",0:00:15,0.00449391762887221,0.9583659090273677
"[35, 35, 35, 35, 35]",0:00:07,0.0053541902265663525,0.9366184283367763
"[40, 40]",0:00:05,0.005813118495331906,0.9390849327392834
"[40, 40, 40]",0:00:15,0.0049139620607969595,0.948938427153525
"[40, 40, 40, 40]",0:00:19,0.004368271926347924,0.9529251942496414
"[40, 40, 40, 40, 40]",0:00:13,0.004743024804352817,0.9505075573204383
"[45, 45]",0:00:10,0.00522558731561528,0.9498206816270368
"[45, 45, 45]",0:00:19,0.004459074055601057,0.9601908106889198
"[45, 45, 45, 45]",0:00:18,0.004452197862024913,0.9582634484839586
"[45, 45, 45, 45, 45]",0:00:20,0.004481092876883456,0.9508232320384531
"[50, 50]",0:00:07,0.005861947692322479,0.9411316618829021
