seed,loss,bestValidationScore,testR2,testR2Real,testR2RealNoOutiler,mseRotTrans,mseAxLength,mseMElong,maeRotTrans,maeAxLength,maeMElong,mseMElongNoOutiler,maeMElongNoOutiler
5346,0.013080015722977152,0.9736132462202143,0.9749686620745971,0.9594352774190172,0.9626859213206688,0.0015879108664761635,1.8006208606935474e-06,0.3468654888219453,0.02463777503280231,0.0009523974159241348,0.280918549729053,0.31724948063908387,0.27805170052883865
9844,0.012965998459363387,0.9755035702187218,0.9736343604444074,0.9600244627877447,0.9600244627877444,0.0012367856550581664,2.4892400840202957e-06,0.3270544565838253,0.02115669232599033,0.001249690233360003,0.2765850898357651,0.3270544565838253,0.2765850898357651
951,0.012940633621709914,0.9750675542373791,0.970297293859684,0.9435955171851251,0.9455822791715384,0.0014908210723812373,2.2246272703946423e-06,0.4588530306013224,0.02505857155846186,0.0011145450378208905,0.31681123773772435,0.4419098648495716,0.3146683800060182
617,0.013022661076411682,0.9707180898477618,0.9758043690954642,-0.8228677682532101,0.9580676589052386,0.002204210240423309,1.8914213324118531e-06,16.19925124005151,0.024839305948835568,0.0010098777716922689,0.3691591008469793,0.35216330360683346,0.2903191985072892
7072,0.01414306376513751,0.9715672017957017,0.9718307979395492,0.9112769170006075,0.9401767189202944,0.0014151407255748774,2.4726321222344563e-06,0.7819584299489478,0.023207370752724756,0.001162603889059337,0.36144766997349786,0.5207927191554642,0.3454488022824402
6209,0.013085275036026807,0.9754435846330001,0.9740567775694492,0.95042995304898,0.9564753160718896,0.0022308614079186127,2.075188832876303e-06,0.4144558807876331,0.027367334261789535,0.001067890170420744,0.27631023019001905,0.3601782038499727,0.27097539141948473
6703,0.013750235674014424,0.9744433957624944,0.9723539764526136,0.865983139668771,0.9405844703205543,0.00199759297996065,2.62483978976488e-06,1.1560622033293941,0.027384178208093485,0.0012105426527447163,0.35416794821496267,0.4979464404980034,0.34038997354511913
6519,0.012952164915894883,0.9747106556058585,0.9768147774157319,0.9542997629330016,0.9553068139688486,0.0013916856174016497,1.833803453586216e-06,0.3913925482805233,0.022983605894150664,0.0009360263762183123,0.2830331688022315,0.3822343500319615,0.281468666027278
2348,0.01404605724531944,0.9733741356164205,0.9730657412646037,0.9449052076787688,0.9474682034468289,0.0019133699550533331,2.8262173654907607e-06,0.4475293123080597,0.02732124746706813,0.0013399410923298643,0.3285998810483901,0.4253876428043576,0.3261429734447107
5299,0.013281049532640189,0.9748547406052088,0.9731059580408079,0.960562598584727,0.9649684402948521,0.001575306062358627,2.7309210027381796e-06,0.3189047449942169,0.02313277792381699,0.0011936429557613101,0.26432527606375367,0.2807802023348244,0.26105828942919596
7946,0.013198306414794683,0.974495737756949,0.976189751945092,0.6952942929148612,0.9448096287846734,0.0017934286830490727,3.354469587811704e-06,2.682660491723922,0.024296181292341387,0.001329676154481996,0.32785094862390485,0.4696393399322584,0.3004676251436939
476,0.013502064844475296,0.9742259104515719,0.9720263532152842,0.9041634779844072,0.9549399291851465,0.0016090794672760844,1.5781753396763808e-06,0.8166476577475417,0.025952705844464352,0.000948099080408683,0.3075859780620546,0.3729148071531344,0.29447203994918125
6263,0.013301942290922887,0.9740417354166729,0.9747996868689178,0.9466899516785504,0.955337935719803,0.001748360637546913,2.149639648427793e-06,0.4610059761280666,0.024365650257556968,0.00109713007896868,0.30366341504369826,0.38214234228402444,0.2970351403983955
1894,0.013237350800702524,0.9749893204580413,0.9760648593038367,0.9183813265458868,0.953028387706326,0.0018513863407089953,1.5863858559240194e-06,0.7058832677980192,0.026841932969325365,0.0008951961836415122,0.30749957710742615,0.3968361883065971,0.2980761862375208
3793,0.01338469389450143,0.9758091945211796,0.973443119032764,0.9362263589787974,0.9488067561363795,0.0013818855123849333,1.7292246823942636e-06,0.5422979084480285,0.024138796084499124,0.0009501732672975081,0.31578934542223985,0.43154308220151977,0.30791068693622
9374,0.013878003561142962,0.9711587179313957,0.9689532347329952,0.9045722531432941,0.9404708254254329,0.0019457489097727482,2.4470932861421984e-06,0.8131795458100174,0.027314066569395775,0.0011470213737403345,0.3633310126051311,0.4976918273557881,0.34893281630792017
