alpha,learning_rate_init,beta_1,beta_2,epsilon,loss
0.00012016747235172592,0.0013171405396316888,0.8607524550663006,0.9914062528739601,2.047769513458906e-08,0.2189064210894482
0.00038548213654800243,0.0006194869508053887,0.8955428044466682,0.9825810916085853,2.9493247816171385e-08,0.2163213742009707
0.00011828000349968615,0.004604704436899254,0.9062991467008588,0.9951082919685926,2.5892588124222103e-08,0.23421482507005897
0.00023326052898663124,0.002009110056273013,0.7971465944577125,0.9903837168633509,6.948982204467777e-09,0.22951250199768616
0.00015949556158171083,0.002530311725073119,0.7946309128612857,0.9946313956582349,2.966311096788932e-08,0.22377909610879243
0.0003242176905863375,0.002809920908498463,0.7556027551521547,0.9942184849557314,1.9167614085017682e-08,0.2265036122828115
0.00023579502223404492,0.0005665752994178589,0.8604678330926354,0.9921218615860398,1.8599860777109573e-08,0.2146699238327076
0.0007115171969676035,0.001381984513175478,0.7555695313157897,0.9984181524935221,3.4183740461781465e-09,0.23784031319214377
0.0001652066291687023,0.0012637009015159647,0.7336055991216478,0.992367175068824,1.0434388074915714e-08,0.2309629915478674
2.6066224545642745e-05,0.003103011386056397,0.9723099356904525,0.9910785823084363,6.636273597386113e-09,0.22582179642254313
4.845334024658679e-05,0.0005784844866000632,0.946271995608894,0.983627647163322,4.622094516536485e-08,0.21035004165848462
6.676847335480112e-05,0.003378717871358139,0.9524229557888482,0.9949322220458678,5.369438330386259e-08,0.22456172922659223
0.00023448607330421052,0.00041862446228822575,0.7635345970019005,0.9817141533227747,6.829970341767881e-09,0.21490945053139987
0.0003119092464145006,0.0024099894085838937,0.7795413177619017,0.9886735383576295,1.2727735703901141e-08,0.22955813474500456
0.0001227963819421921,0.0011043596473780909,0.7452009990703464,0.9827701061408463,1.6225751386075042e-08,0.22649279795678076
0.0001565576951406659,0.0019017935318654251,0.8152509187474015,0.9898349731111546,1.3017269808156891e-08,0.22395964012232533
