alpha,learning_rate_init,beta_1,beta_2,epsilon,loss
0.0004954614944686653,0.0015281490326869516,0.9239827368437293,0.9991210328398406,2.1832366703066682e-08,0.10519865549350244
0.00032760751527103954,0.0015146656314920133,0.7621097652992633,0.9809399256337293,1.2926405117819536e-08,0.10660670781150483
0.00014360381131789114,0.0009388265847455623,0.8836634925682463,0.9959312649273894,6.09136308692831e-08,0.10363319215258103
0.0004498701029927072,0.003002334267404866,0.8643831853216003,0.989612510796116,4.940916129776802e-08,0.11094317124820369
0.00013664903460487493,0.001200132411727236,0.734984987742656,0.989304453413823,2.937328439337854e-08,0.1051695596034868
0.0003244991962744211,0.0005910212291292964,0.8693687087760603,0.9865898018760371,4.509495558663464e-08,0.10174236925973548
6.62989334692656e-05,0.0006944322905328172,0.8515581504268193,0.9969501948867621,4.057257622313517e-08,0.10322051766960821
4.59080920653335e-05,0.0019100406896012333,0.9039586345208555,0.9882860226630623,1.1772921644549457e-09,0.10575105925375115
0.000100443163640199,0.0040728665048311,0.9331194777829719,0.9822414436741344,1.5649982174320157e-08,0.10891020092380792
0.0001413132096457095,0.0003451044689142314,0.7507957350067429,0.9926529042115707,2.0901535634107186e-08,0.10358495827849129
0.00017457170254091666,0.0006612905438369136,0.7551649744358377,0.9934081307819279,6.286710970445575e-09,0.1016576731977952
8.797370746454869e-05,0.0005567872610796103,0.8000858356991166,0.9952708596087956,2.1926093978946342e-08,0.10273747795494187
0.0003867867645954592,0.0011006382923121802,0.7156236917943427,0.9816306432443582,1.891785696542487e-09,0.105416646626821
0.00025763714375785063,0.0027697330542420244,0.848433849225883,0.9897512064192615,1.167455900191025e-08,0.11029537926382126
0.0002921005643485681,0.002621777856347707,0.7657840164378973,0.9941309975680025,5.02477804498975e-09,0.10942347219961188
0.0002993664799553535,0.000364398233899208,0.8372207207286024,0.9904890037702706,2.7978822164999432e-08,0.10400933692885372
4.0584660569135744e-05,0.00019035181956676217,0.9555600921059733,0.9897342275992914,2.424648025237545e-08,0.10426827156732944
2.555654322843318e-05,0.0026471167113518252,0.7193115859858545,0.9901976508833293,2.340777875541586e-08,0.10643772629506236
0.00013761890930589143,0.00026563122780006473,0.8766975044790616,0.9806121660324426,1.538660793500653e-08,0.10474442247358301
8.543684823902503e-05,0.0005187046447858191,0.8404387832823238,0.9892332908647467,2.104049021782105e-08,0.10457415534267261
0.00020141747319938827,4.406699848023311e-05,0.8187018791285151,0.9939469651959615,9.138881658366577e-09,0.15431667228866527
0.00011937023812342443,0.0012721096611262748,0.7599285963257818,0.992720398868085,2.443204424141638e-08,0.10229274918024386
0.0004130220965025247,0.002371903619799695,0.9599675597843703,0.9812221628811483,8.536088427183391e-09,0.1079718925445983
0.0004686118284793722,0.0022241296997996454,0.74315463593094,0.999716869159606,4.627513200126692e-08,0.10718317311358107
0.0004855478614482906,0.002612153623093739,0.8087612977850668,0.9932876500990807,3.401213121597826e-08,0.11107004462124495
0.0002035284854737875,0.002871330704781711,0.842274267329584,0.9989963068806158,3.973686015205875e-08,0.1071354198402763
8.868688770266827e-05,0.0009278295602478965,0.8755929537839299,0.9836111114638189,1.8913369186697146e-08,0.10393219683686818
0.00018624492131222433,0.0006335413890944299,0.909744662251076,0.9867691254837473,2.5017733048298252e-09,0.10357447202316032
0.00010217133285118522,3.076696618106874e-05,0.904263653335838,0.9932338226750763,9.490546338870778e-09,0.15619180742176555
6.146873226351598e-05,0.0007694284962319262,0.9651271074607284,0.9854004591433252,3.390354069467207e-08,0.10300052956268023
0.00028133119920478207,0.0012253024940024992,0.7120862048041963,0.9944126055225981,1.3009351896563262e-08,0.10694418415641947
0.00022502873239462309,0.0004874714083192679,0.8340756424482113,0.9826533615004763,2.995585614236101e-08,0.10281056797379248
0.00014036425953782065,0.0021504837113141243,0.8170743658290238,0.9873290767380235,2.1488261046887384e-08,0.10507618701815287
0.0003059229420226567,0.0015718277120065102,0.8769645719703505,0.9998215310452165,2.801274209546523e-08,0.10543056509712409
0.00019353453896520816,0.0018964516293258791,0.8327532121029805,0.99875845233661,1.2498189680519067e-08,0.10432068893800903
0.00030524862331537586,0.0009399787246635902,0.7246368885723282,0.9912863236693202,1.7581712519645904e-08,0.10481887362814103
0.00026286710058690964,0.0038536476008359777,0.9696050324822119,0.992049934730623,3.578943544171108e-08,0.11532676731431486
0.0001741970316259696,0.00029019995870277287,0.7374950189983738,0.9996275681041221,6.6391471012786215e-09,0.10397702681231129
0.0001826599177967983,0.0011147934724019648,0.9024769906838159,0.9852917521707726,4.30667704801837e-08,0.10467888584778944
4.725946909149293e-05,0.001521687627780736,0.7789862919767844,0.9847835254079224,2.3576003721535788e-08,0.10474420708870665
4.388620832678054e-05,0.001740351157215042,0.7080476798885662,0.9859851682629712,9.665650888238478e-09,0.10321526976764206
2.415395536891573e-05,0.0035006014208275884,0.9372362720919238,0.9997312359339534,3.218683197711256e-08,0.10939659995074205
0.00011686454110459289,0.004421396967273859,0.940363752744392,0.9805066006867318,1.864879193809864e-08,0.11090131246363764
5.425510718758796e-05,0.004617517604233673,0.9837015762937971,0.9993021525875863,1.68024084087599e-10,0.11231252178630016
