seed,loss,bestValidationScore
525,0.004595985166363575,0.958145357889375
551,0.004598081399857473,0.9576075782888994
81,0.0046822944024856455,0.9494953275418149
600,0.004945915314133605,0.9460193080615685
223,0.004874576363783409,0.9475895808500869
916,0.004563346543186734,0.9568842506876197
157,0.0045514911697107285,0.9549280053235654
502,0.004469773385129236,0.9521159958451145
653,0.004691734183829267,0.9578778152458954
414,0.004627327970339597,0.9600530744765852
986,0.004451599682295387,0.9563244398404837
282,0.004549152435513871,0.9580973456077647
636,0.004566507411726846,0.9555998129844528
807,0.0046582536158869215,0.9495679867451127
397,0.004517791997565296,0.9606550204044222
157,0.0045514911697107285,0.9549280053235654
54,0.0047322653478022855,0.9493883756500484
313,0.005386851925323432,0.9129191031854451
588,0.004652735266920591,0.9554516177207405
461,0.005005600593854932,0.9468665533102426
122,0.00450996726432225,0.9618657801237412
620,0.004482266965501638,0.9589801129796932
28,0.00443669879883513,0.9552565913172919
723,0.004570947469157515,0.9534471616130219
119,0.004671702601571818,0.9564538412824325
13,0.004759880101186468,0.9520531057375092
534,0.004617177567153292,0.9567694521667615
987,0.004463574643333248,0.9530977709849053
816,0.0045216828595042715,0.9571517933553428
634,0.0047341556446769024,0.9446726297025748
659,0.0046040145152233345,0.9605038030775871
689,0.004681743360362578,0.9513177630034805
522,0.004768889032948799,0.9564349633760388
441,0.004483868536216554,0.95816275080599
512,0.004728401674644636,0.963796395682308
707,0.004754546444042404,0.9489934830841942
311,0.004677907090463037,0.9481097739967814
629,0.0050592773995495575,0.9518790096670093
736,0.0046285579789464674,0.957022249238708
300,0.004698660369688431,0.9589590731415004
838,0.0046351334373366795,0.9542074254056744
481,0.004440776775410839,0.9604069110633692
627,0.0046673920646372645,0.9576036394210311
486,0.005052226267818093,0.9476780833735292
877,0.004649737343886848,0.9497100782709111
382,0.004787316501854105,0.953939200984509
237,0.0046840197778229955,0.949684701681055
891,0.0045930734232155655,0.9538103441460245
665,0.004674781382307836,0.9578348283170138
360,0.0045995155526128385,0.9494075670354113
655,0.0048106312453879765,0.9504951143100452
427,0.004655274437824246,0.9576208089605189
943,0.004585328094112883,0.960335868233055
405,0.005257542876462159,0.9429342400415318
607,0.004526731485625098,0.9570204545445128
523,0.0049975674075785305,0.9464065972659904
317,0.004609233623559161,0.9556737320592275
122,0.00450996726432225,0.9618657801237412
687,0.004570342227879649,0.9536225401882273
322,0.004583414973787517,0.951648476637065
926,0.004720678299493459,0.9496969173262229
812,0.005296888530337403,0.9451590786427638
279,0.004500006590432106,0.9587049066389719
7,0.0045404921412460246,0.95976899533765
661,0.004617623098934173,0.9570039972953236
445,0.00460257921176279,0.9551202976698671
625,0.004821210501751108,0.9432668780236448
880,0.004811622280861209,0.939894097320091
981,0.005106988385202599,0.9351857059061758
410,0.004535586566823271,0.9589820886939441
898,0.004689046842215999,0.951660479835642
794,0.004389333084819336,0.9651401145603078
164,0.005361965109361578,0.9359066558662312
972,0.004696628881662721,0.9536829465441281
458,0.004712610907328395,0.9528081473544413
204,0.004627350359292209,0.955359439911453
101,0.005069554820645585,0.938152562880206
111,0.004705280651813683,0.9519558540533559
342,0.005146354539193416,0.9481796669836585
637,0.004456276486780663,0.9506725360758015
382,0.004787316501854105,0.953939200984509
714,0.0046233975968580695,0.9527581057486175
814,0.004623776660472117,0.9604015068752693
604,0.00470878766946239,0.9500886171330988
951,0.004579012593851912,0.9576234752686817
691,0.004547489557618516,0.9595913422238714
58,0.004627373038566746,0.9511041914245996
690,0.004893049087475817,0.9439337575563265
661,0.004617623098934173,0.9570039972953236
120,0.004591458772063087,0.9529826097323881
933,0.005191155264698983,0.9334740402821627
575,0.0044425664174197865,0.9576524434019142
360,0.0045995155526128385,0.9494075670354113
419,0.004822080840582517,0.9538393913068193
904,0.0046135062551987994,0.9573059229395268
230,0.004711389021923315,0.9599328415344454
807,0.0046582536158869215,0.9495679867451127
733,0.004738436339882124,0.953547101728451
94,0.004718534998684799,0.9598821032976805
340,0.004784814369872674,0.9574394771337448
