seed,loss,bestValidationScore,testR2
3735,0.0044915118379099854,0.9537477467959915,-0.03832246710964767
2900,0.004819619785735045,0.9608420379817336,-0.1459204632291606
2849,0.004500276842877277,0.9629577726331573,-0.08213786047848981
8145,0.004648703166848166,0.9505627695978619,0.18839251093028275
214,0.004616012139446936,0.9560261148546996,0.07654085273283202
3534,0.004426379583671152,0.9590511615699254,-0.00984089067435697
5752,0.004396026345688231,0.9626760308096847,-0.16678437753335204
2013,0.004531493338294558,0.9565676643323519,0.0313922028318252
506,0.004485031614166807,0.9606228933479648,-0.134062129805449
5008,0.004919555305381972,0.9460331532433178,-0.25003582175675126
6169,0.004601374280253674,0.9543871966340373,0.0621144002079335
1919,0.004772756365577555,0.9451714612610155,-0.006047990096766524
8720,0.004613195168043122,0.9641969837298726,-0.1493702314932427
6556,0.004587871691630114,0.9504907250814854,0.03195819738986579
7982,0.0051126873232049605,0.9452034523773166,-0.5218334270409661
2780,0.0045135498488057205,0.9589268228715372,0.02923706725928817
793,0.004632655517248788,0.9587203308642188,-0.020576906161472713
4466,0.004640671884275569,0.955598805777198,0.05757404700048622
2240,0.004700993891070114,0.9527921694106757,0.1591966095635651
3822,0.004687023444866002,0.9532360876972371,0.18338007403227663
8713,0.004561527672321827,0.9607454825667915,-0.07185786613114183
336,0.004514065505811947,0.9599302214957753,-0.14939873366133305
7217,0.004543100629603984,0.9593396219855158,-0.04024526351186971
5371,0.004653296062279758,0.9593585447251946,-0.03861398884072109
2109,0.00463621081435852,0.9450874743167547,0.18494547105403994
3156,0.0046872098163602445,0.9585192269351591,-0.0038932322980413936
4048,0.004419914125510881,0.9572803072167745,-0.0771531399845562
1155,0.004555249496482081,0.9554983123256723,0.11035486662388123
3717,0.004615310661096856,0.9522553453078544,0.11781382600407835
6246,0.004996084611340274,0.9382092202832121,-0.3377087739841527
252,0.004637362517001384,0.9586801856754069,0.10097404405526315
9133,0.004571387107215931,0.9623220732821792,-0.008230391882786145
8723,0.004569318196051799,0.9589871515931049,-0.03991250961334162
230,0.004477761564205413,0.9622491406979216,-0.011825617739731786
7989,0.004655541571210842,0.9597950746225784,0.053791638999653335
731,0.004451041315826691,0.9554234260845528,-0.1293775373886461
6213,0.004534362430452513,0.9526609272243988,0.15058167672842285
9867,0.004560601606525675,0.9583348279014697,-0.007069533049712621
1720,0.004382289465535722,0.9534082288583307,0.03192440207676295
7279,0.004622819743330181,0.9513031961939689,0.1312342397420021
3084,0.004571525611095862,0.9574903967024123,-0.052328012481579846
7196,0.004472194424998971,0.9585863831211702,-0.09152747662042386
6170,0.004743453820824925,0.9530738565010074,0.16422644197330002
9554,0.004803256517160014,0.9408198036815335,0.08361146377296191
1851,0.00457984874418141,0.9534611424101994,0.13213098461455672
8560,0.004558468710447274,0.9586324049969358,-0.03545032051466479
778,0.004654545064064191,0.9401008778728621,0.15282177209647685
3893,0.004604701986055082,0.9555959499169427,-0.03318405352501489
8838,0.004561747758778438,0.9577427592190441,-0.002993686025332898
9528,0.004615588950804312,0.9591018517072607,-0.18820196086419014
9164,0.0045005639068981355,0.9617816031170365,-0.011855955755844009
207,0.004758929299582101,0.9594228671123907,-0.053766881671013365
5434,0.005189544245449252,0.9423887898713105,-0.5642375440450662
5219,0.004458547763122833,0.9599534017649645,0.018498972640278888
6928,0.004740180217712397,0.9545569616746167,0.13323529202241177
8339,0.004668436008965427,0.9487692418356742,0.1924124233158856
2056,0.0046153588322080125,0.9615706671240168,-0.049684237664125
1868,0.004504847250835583,0.9569964135402479,0.02059219383677313
3700,0.004640161760625605,0.9526486584978341,0.1475112188761205
3589,0.004574243197196026,0.9623206859851928,-0.05283498466246839
1818,0.004425764912220125,0.955293833479808,0.08017623851595435
8328,0.004394363014154128,0.9593693698076856,-0.13229944527166249
2082,0.005189246135772743,0.9404403906903062,-0.45103348540069543
1708,0.004550442442391961,0.9598125089720483,0.005763973190179221
5545,0.004557407594052216,0.9566547978234642,-0.030919469248356646
1482,0.004472318663857919,0.9614563836164699,-0.1129627265945996
4307,0.0046899359720806765,0.949114087746533,0.11619835837933172
283,0.004989070758657266,0.9420732599990503,-0.5133427121871704
2569,0.0045350582552905255,0.9618531168746299,-0.18306227889371685
3750,0.0046653682529964,0.9465446336513761,0.09588915679100722
669,0.0050678570576065275,0.9380421214054099,-0.4493279239904406
3151,0.005018659860610369,0.9406135991019285,-0.4076330116597647
978,0.004527732357983131,0.9605606506080657,-0.1875144230664476
5386,0.004501220163601174,0.9566868811285657,0.008282140965030993
1092,0.004341966430061627,0.9602100345898497,-0.14426684305989768
7551,0.004633331564348766,0.9591103040251796,-0.04126318007743316
