seed,loss,bestValidationScore,testR2,testR2Real,testR2RealNoOutiler,mseRotTrans,mseAxLength,mseMElong,maeRotTrans,maeAxLength,maeMElong,mseMElongNoOutiler,maeMElongNoOutiler
966,0.013250966362758299,0.9763476008415223,0.9753764884986822,0.946463169537013,0.946463169537013,0.0013398433154801941,2.681462463221601e-06,0.4431111286301892,0.02259799021755816,0.0012871290105657771,0.2988638154260285,0.4431111286301892,0.2988638154260285
6728,0.013051236920957776,0.9782420944571782,0.9770911012054017,0.9598338002055407,0.9598338002055405,0.0013068656933438079,2.443491343059734e-06,0.34337815626230067,0.02201347359314044,0.0012832579472501925,0.26365125105765297,0.34337815626230067,0.26365125105765297
9604,0.013276610708248348,0.9758451781850938,0.9758128184872842,0.9539562535077902,0.95659182933479,0.0018957580042066812,5.060536623672318e-06,0.3741950338894327,0.025515385993627116,0.0018522566595071705,0.28374770089699836,0.35152217934547547,0.2812486180155812
3312,0.013641564912917362,0.9730717442103485,0.9745032208265343,0.9700327698793106,0.9700327698793106,0.0016578647826422683,5.1355294716606815e-06,0.23215186908456503,0.02609638355895781,0.001818618695601625,0.24878499790687367,0.23215186908456503,0.24878499790687367
9480,0.013090770755543206,0.9732664986038998,0.9763287523427914,0.9722183811727406,0.9722183811727406,0.001976348089505454,3.697417980137073e-06,0.21208377688111574,0.026197938804823268,0.0015823572731744075,0.22427972448715883,0.21208377688111574,0.22427972448715883
1136,0.013494106658383095,0.9762714330385246,0.9771661481227923,0.9675477258222903,0.9675477258222904,0.0020391211975610336,2.469731022162901e-06,0.25423271767311434,0.02964335889296336,0.0011459530976676087,0.2688997113703364,0.25423271767311434,0.2688997113703364
349,0.01326697153401005,0.9785218650467177,0.9717884764162852,0.9489960040034692,0.9511143290062921,0.001436964437653394,1.957766152748381e-06,0.4276361238586555,0.02292356160624343,0.0010448880865615781,0.2757959046509038,0.408876493751727,0.27352572123178787
1354,0.013277524646589756,0.9744146907476181,0.9721881438766866,0.96278410297709,0.96278410297709,0.0023858141971586978,2.3803074875306607e-06,0.2917938124818542,0.030027675741606866,0.0012322374934278,0.2577203495216714,0.2917938124818542,0.2577203495216714
982,0.013432422175995135,0.9721753455615687,0.9751863059933669,0.9410961561279182,0.9410961561279182,0.0021672800773248476,3.8073116042139585e-06,0.4999829747549377,0.03201860282662433,0.001528305579061374,0.34865568806894376,0.4999829747549377,0.34865568806894376
5210,0.013017851256681224,0.9770836810753218,0.9753604546293516,0.9517420090783654,0.9542340047715218,0.001091557450637262,3.9304262161488e-06,0.39348916936995165,0.019760644308035046,0.001403267186117805,0.2775478795117605,0.37218193994869503,0.2751252371220763
5554,0.012979820228493746,0.976726553514616,0.9723747706646817,0.9465990977161066,0.9465990977161067,0.0012003785657011532,1.6972130738091677e-06,0.45152472400295235,0.020695549805580638,0.0010356980194515105,0.29370862528958736,0.45152472400295235,0.29370862528958736
