seed,loss,bestValidationScore,testR2,testR2Real,testR2RealNoOutiler
6945,0.01302312785579687,0.9714172736910842,0.975968932045324,0.9413890298109632,0.9413890298109635
4377,0.01355759017937987,0.973024501706484,0.973556574931361,0.9436521186627475,0.9516682195163852
2035,0.012873808867196771,0.9733877910932853,0.9740797995077842,0.9423447447834005,0.9423447447834002
4096,0.013172351075844895,0.9768727216982372,0.9731735305910112,0.3421551066321196,0.9492371948604235
7703,0.01291518552774914,0.9726011691078714,0.9742456044559801,0.9341069189661777,0.9481974677162862
6661,0.014023282344131376,0.9719725720238066,0.9749941896637172,0.9240579572196491,0.936915805046505
3760,0.01323142312950858,0.9737637766790036,0.9743451610454804,0.9486377350627655,0.9486377350627656
8906,0.01367009604332529,0.9756534218646391,0.9749910933001417,0.9538595322760502,0.9538595322760502
946,0.013543833384802204,0.9766260981864409,0.9740755124400341,0.9533463534651072,0.9533463534651072
5152,0.012973951479627937,0.9763671389953972,0.9755653806402674,0.9555788003510667,0.9555788003510667
1882,0.012851718659876893,0.976611466286065,0.9758784038455101,0.9446007457431945,0.9446007457431945
2251,0.012777448748459631,0.9734028857258469,0.9730316011401356,0.9426238169883435,0.944734688263179
2284,0.01318107730006291,0.9723338089127616,0.9752313964301423,0.9690953769924674,0.9690953769924676
2246,0.013264639888427559,0.9735847341134661,0.9757057152904339,0.9532039030922773,0.9532039030922775
7465,0.013926344032872174,0.9767716270507597,0.9716053148054146,0.9473708577930632,0.9473708577930631
3342,0.013113515434926584,0.974198729037945,0.9740632132529577,0.9655755315901944,0.9655755315901944
6452,0.013213712662748045,0.9739842187393607,0.9727826240403331,0.9630814708282983,0.9630814708282983
6214,0.012586521083551376,0.9709449469202998,0.9730456784912201,0.9549041374166034,0.9572459399663797
6596,0.01334188723288491,0.9771593128335073,0.9762829573450791,0.9602201147437621,0.9602201147437621
3537,0.013334797496634854,0.9728735655396111,0.9716258773187819,0.9420063542988633,0.9420063542988633
6260,0.012702469865362949,0.9734027525489427,0.9735846214012033,0.9511047548069643,0.9511047548069643
4203,0.012853235308070827,0.9739086586136388,0.9744447235102016,0.9611729628848972,0.9611729628848971
9701,0.012762490461453316,0.9738986100912085,0.9715190787517068,0.9543164003472541,0.9634130681993142
4937,0.013165898103552353,0.9759173762965933,0.9715671218145084,0.9401068156480407,0.9401068156480404
9131,0.013289529645447986,0.9740946315882114,0.9744809554999377,0.9481233133540593,0.9481233133540593
249,0.01342071652163572,0.9766938098238341,0.9701910621938813,0.9608483598586531,0.9608483598586534
6084,0.013155831124933735,0.9756246376582899,0.9723484357341076,0.9459688326536203,0.9459688326536203
2423,0.012963371992320855,0.9734431024894924,0.9757574465179637,0.9304254712572182,0.9497091469796676
1332,0.013042724458846187,0.9745587749534707,0.9730781607809685,0.950036881707577,0.950036881707577
3644,0.013762164727060336,0.9723165043565606,0.9739918378785801,-0.010792117828331671,0.9497519798388122
7734,0.014049556677316995,0.9728279869222609,0.9731974709879552,0.9543697592719064,0.9543697592719061
6290,0.01331992115895763,0.9737894182543688,0.973789776377378,0.9604485395049194,0.9604485395049194
9806,0.013804910213623778,0.9763196083078819,0.9754358934776318,0.9441766227129197,0.9488500081615406
8731,0.013596813219404473,0.9725035317293981,0.9772028523446014,0.9480908890905839,0.9480908890905836
7620,0.01356148645514925,0.9736593105135571,0.9709503014751536,0.939919236637991,0.9454053673032332
192,0.01335306688555762,0.9724499594760818,0.9769117423501718,0.9491856105314819,0.9491856105314819
9217,0.01343454703239531,0.9726802602878314,0.973832812591409,0.9537811388545294,0.9537811388545293
3512,0.013228060441120838,0.9750662931130218,0.9757006595242338,0.950541161479881,0.9505411614798812
8890,0.01409549181317773,0.9754958694994613,0.9728210221722892,0.9534996337110201,0.95349963371102
3212,0.013203269226895503,0.9740919061092264,0.9733414482337354,0.9484822652401385,0.9484822652401386
4322,0.013519344537367797,0.9749012707622594,0.9727954839383086,0.9152891461025893,0.9478973108679369
2873,0.013340525419734338,0.9766916360207448,0.9753337148280276,0.9521924950649595,0.9552948190255571
8305,0.013413555455023674,0.9747096908838921,0.978054717356375,0.946076891663654,0.9526645732893279
1602,0.013856689489411458,0.9720542544177807,0.976359557768232,0.9499874773262847,0.9499874773262847
4976,0.012992174825128657,0.9731353865222795,0.9717853550843606,0.9446717484840751,0.9482436166126057
2479,0.012984809110470362,0.974637322635053,0.9742036851702883,0.9553308242765147,0.9568197594506289
4314,0.013233129779576414,0.9742962172366644,0.9724231815963645,0.9431591204625812,0.943159120462581
2056,0.013647069967319124,0.975170611880535,0.973472438109184,0.9448754404035514,0.9471675456432344
9343,0.013269546764274056,0.9729982415814821,0.9725075033203181,0.9372057362723721,0.9405793244172586
7716,0.013256720612668006,0.9728431490124766,0.9740743446420419,0.9534208702197562,0.9534208702197562
9749,0.01324496636269384,0.9759712991553515,0.9743289245762622,0.9512854531308795,0.9512854531308795
1398,0.013226311850416098,0.9733542889910195,0.9732262766396401,0.9524735050895742,0.9679365268781007
2785,0.013310914350787732,0.9776268646258558,0.9760252923527432,0.9557847090280163,0.9557847090280163
1995,0.012904988493486529,0.9728784333017432,0.9739998083764859,0.9603718043823691,0.960371804382369
2565,0.013023660002450498,0.975916025502236,0.9764115215204182,0.9587008413267659,0.958700841326766
8461,0.013228204335387229,0.9743265393413963,0.9745802979359236,0.9524619414831058,0.9524619414831058
691,0.01300940707426327,0.9761231000331557,0.9719316076590436,0.9505857129201652,0.9505857129201654
7164,0.01349353298431737,0.9757666940331978,0.9760270292360596,0.9571110735440843,0.9571110735440841
4153,0.013426133206121751,0.9725866498099368,0.9762525736090036,0.9631402244204946,0.9631402244204946
2695,0.013549384883847247,0.9719805872026246,0.9734050545007492,0.9436943193811422,0.9436943193811423
9301,0.013727199396414331,0.9746123090118098,0.9763609636150212,0.9516356984336922,0.9516356984336923
24,0.013070227939208251,0.9764689688126088,0.9751178531002919,0.9428173790219265,0.9428173790219269
3750,0.013052411452495534,0.9714422768452344,0.9731147921399023,0.943844183091218,0.9438441830912181
4093,0.012906354813145582,0.9741425205173792,0.9741793883316366,0.9429446645122398,0.94294466451224
9818,0.013972736715671114,0.9731516970588571,0.9717465033725877,0.9640379039088544,0.9640379039088546
5312,0.013513240322651787,0.9737332003956203,0.97690374406482,0.9448553956208331,0.944855395620833
2050,0.013232924138359855,0.974031519287421,0.9745529798147462,0.957624884533229,0.9576248845332292
9487,0.013114991175126317,0.9728111782589329,0.9751132681885807,0.9492169232489364,0.9492169232489366
5794,0.01320914787816298,0.9743334816232085,0.9719323453857873,0.9248529242445819,0.9527609794176346
928,0.013158815718848723,0.9780733050419125,0.9739689194343404,0.9538004888521773,0.9549267180988203
7913,0.013287710077712758,0.9736079126366582,0.9760730018729679,0.9571070844984408,0.9571070844984408
